url,Name,Brand,Model,Colour,Memory,Price,Availability,Website
https://shop.vodafone.co.uk/shop/pay-as-you-go/samsung-galaxy-s7-32gb-payg/sku90279,Samsung Galaxy S7 32GB,Samsung,Galaxy S7,Black,32GB,500.00,In Stock,Vodafone
https://shop.vodafone.co.uk/shop/pay-as-you-go/apple-iphone-7-32gb-payg/sku88417,Apple iPhone 7 32GB,Apple,,Black,32GB,569.00,In Stock,Vodafone
https://shop.vodafone.co.uk/shop/pay-as-you-go/samsung-galaxy-s7-edge-32gb-payg/sku90777,Samsung Galaxy S7 edge 32GB,Samsung,Galaxy S7 edge,Gold,32GB,585.00,In Stock,Vodafone
https://shop.vodafone.co.uk/shop/pay-as-you-go/apple-iphone-7-plus-32gb-payg/sku91250,Apple iPhone 7 Plus 32GB,Apple,iPhone 7 Plus,Black,32GB,689.00,In Stock,Vodafone
https://shop.vodafone.co.uk/shop/pay-as-you-go/huawei-p10-payg/sku95134,Huawei P10,Huawei,P10,Black,64GB,549.00,In Stock,Vodafone
https://shop.vodafone.co.uk/shop/pay-as-you-go/huawei-p10-plus-payg/sku95108,Huawei P10 Plus,Huawei,P10 Plus,Black,128GB,649.00,In Stock,Vodafone
https://www.johnlewis.com/browse/electricals/mobile-phones-accessories/view-all-mobile-phones/_/N-a8v,"Apple iPhone 8, iOS 11, 4.7"", 4G LTE, SIM Free, 64GB,",Apple,,Space Grey,64GB,699.00,In Stock,John Lewis
https://www.johnlewis.com/browse/electricals/mobile-phones-accessories/view-all-mobile-phones/_/N-a8v,"Apple iPhone 8, iOS 11, 4.7"", 4G LTE, SIM Free, 256GB,",Apple,,Gold,256GB,849.00,In Stock,John Lewis
https://www.johnlewis.com/browse/electricals/mobile-phones-accessories/view-all-mobile-phones/_/N-a8v,"Apple iPhone 8 Plus, iOS 11, 5.5"", 4G LTE, SIM Free, 64GB,",Apple,,Space Grey,64GB,799.00,In Stock,John Lewis
https://www.johnlewis.com/browse/electricals/mobile-phones-accessories/view-all-mobile-phones/_/N-a8v,"Apple iPhone 8 Plus, iOS 11, 5.5"", 4G LTE, SIM Free, 256GB,",Apple,,Gold,256GB,949.00,In Stock,John Lewis
https://www.johnlewis.com/browse/electricals/mobile-phones-accessories/view-all-mobile-phones/_/N-a8v,"Apple iPhone X, iOS 11, 5.8"", 4G LTE, SIM Free, 64GB,",Apple,,Space Grey,64GB,999.00,Out of stock,John Lewis
https://www.johnlewis.com/browse/electricals/mobile-phones-accessories/view-all-mobile-phones/_/N-a8v,"Apple iPhone X, iOS 11, 5.8"", 4G LTE, SIM Free, 256GB,",Apple,,Space Grey,256GB,"1,149.00",Out of stock,John Lewis
https://www.johnlewis.com/browse/electricals/mobile-phones-accessories/view-all-mobile-phones/_/N-a8v,"Samsung Galaxy Note8 Smartphone, Android, 6.3"", 4G LTE, SIM Free, 64GB,",Samsung,,Black,64GB,869.00,In Stock,John Lewis
https://www.johnlewis.com/browse/electricals/mobile-phones-accessories/view-all-mobile-phones/_/N-a8v,"Apple iPhone 6s, iOS, 4.7"", 4G LTE, SIM Free, 128GB,",Apple,,Gold,128GB,549.00,Out of stock,John Lewis
https://www.johnlewis.com/browse/electricals/mobile-phones-accessories/view-all-mobile-phones/_/N-a8v,"Apple iPhone 6s Plus, iOS, 5.5"", 4G LTE, SIM Free, 32GB,",Apple,,Silver,32GB,549.00,In Stock,John Lewis
https://www.johnlewis.com/browse/electricals/mobile-phones-accessories/view-all-mobile-phones/_/N-a8v,"Apple iPhone 7, iOS 10, 4.7"", 4G LTE, SIM Free, 32GB,",Apple,,Gold,32GB,549.00,In Stock,John Lewis
https://www.johnlewis.com/browse/electricals/mobile-phones-accessories/view-all-mobile-phones/_/N-a8v,"Apple iPhone SE, iOS, 4"", 4G LTE, SIM Free, 128GB,",Apple,,Space Grey,128GB,399.00,In Stock,John Lewis
https://www.johnlewis.com/browse/electricals/mobile-phones-accessories/view-all-mobile-phones/_/N-a8v,"Apple iPhone 7 Plus, iOS 10, 5.5"", 4G LTE, SIM Free, 32GB,",Apple,iPhone 7 Plus,Silver,32GB,669.00,In Stock,John Lewis
https://www.johnlewis.com/browse/electricals/mobile-phones-accessories/view-all-mobile-phones/_/N-a8v,"Moto G5S Smartphone, Android, 5.2"", 4G LTE, Exclusive Dual SIM, SIM Free, 32GB,",Moto,,Lunar Grey,32GB,229.00,In Stock,John Lewis
https://www.johnlewis.com/browse/electricals/mobile-phones-accessories/view-all-mobile-phones/_/N-a8v,"Samsung Galaxy S8 Plus Smartphone, Android, 6.2"", 4G LTE, SIM Free, 64GB,",Samsung,,Black,64GB,779.00,In Stock,John Lewis
https://www.johnlewis.com/browse/electricals/mobile-phones-accessories/view-all-mobile-phones/_/N-a8v,"Samsung Galaxy S8 Smartphone, Android, 5.8"", 4G LTE, SIM Free, 64GB,",Samsung,,Black,64GB,669.00,In Stock,John Lewis
https://www.johnlewis.com/browse/electricals/mobile-phones-accessories/view-all-mobile-phones/_/N-a8v,"Apple iPhone SE, iOS 10, 4"", 4G LTE, SIM Free, 32GB,",Apple,,Space Grey,32GB,299.00,In Stock,John Lewis
https://www.johnlewis.com/browse/electricals/mobile-phones-accessories/view-all-mobile-phones/_/N-a8v,"Moto G5 Smartphone, Android, 5"", 4G LTE, SIM Free, 16GB,",Moto,,Gold,16GB,169.95,In Stock,John Lewis
https://www.johnlewis.com/browse/electricals/mobile-phones-accessories/view-all-mobile-phones/_/N-a8v,"Apple iPhone 6s, iOS, 4.7"", 4G LTE, SIM Free, 32GB,",Apple,,Space Grey,32GB,449.00,In Stock,John Lewis
https://www.johnlewis.com/browse/electricals/mobile-phones-accessories/view-all-mobile-phones/_/N-a8v,"Moto G4 Smartphone, Android, 5.5"", 4G LTE, SIM Free, 16GB, Black,",Moto,,Black,16GB,149.95,In Stock,John Lewis
https://www.johnlewis.com/browse/electricals/mobile-phones-accessories/view-all-mobile-phones/_/N-a8v,"Apple iPhone 7, iOS 10, 4.7"", 4G LTE, SIM Free, 128GB,",Apple,,Silver,128GB,649.00,In Stock,John Lewis
https://www.johnlewis.com/browse/electricals/mobile-phones-accessories/view-all-mobile-phones/_/N-a8v,"Samsung Galaxy J3 Smartphone, Android, 5"", 4G LTE, SIM Free, 8GB,",Samsung,,Black,8GB,149.99,In Stock,John Lewis
https://www.johnlewis.com/browse/electricals/mobile-phones-accessories/view-all-mobile-phones/_/N-a8v,"Samsung Galaxy A5 Smartphone (2017), Android, 5.2"", 4G LTE, SIM Free, 32GB,",Samsung,,Blue Mist,32GB,349.95,In Stock,John Lewis
https://www.johnlewis.com/browse/electricals/mobile-phones-accessories/view-all-mobile-phones/_/N-a8v,"Samsung Galaxy A3 Smartphone (2017), Android, 4.7"", 4G LTE, SIM Free, 16GB,",Samsung,,Golden Sand,16GB,259.95,In Stock,John Lewis
https://www.johnlewis.com/browse/electricals/mobile-phones-accessories/view-all-mobile-phones/_/N-a8v,"Samsung Galaxy J5 Smartphone (2017), Android, 5.2"", 4G LTE, SIM Free, 16GB,",Samsung,,Gold,16GB,239.00,In Stock,John Lewis
https://www.johnlewis.com/browse/electricals/mobile-phones-accessories/view-all-mobile-phones/_/N-a8v,"Moto G5S Plus Smartphone, Android, 5.5"", 4G LTE, SIM Free, 32GB with Headphones, Lunar Grey",Moto,,,32GB,259.99,In Stock,John Lewis
https://www.johnlewis.com/browse/electricals/mobile-phones-accessories/view-all-mobile-phones/_/N-a8v,"Apple iPhone 7 Plus, iOS 10, 5.5"", 4G LTE, SIM Free, 128GB,",Apple,iPhone 7 Plus,Black,128GB,769.00,In Stock,John Lewis
https://www.johnlewis.com/browse/electricals/mobile-phones-accessories/view-all-mobile-phones/_/N-a8v,"Moto G4 Smartphone, Android, 5.5"", 4G LTE, SIM Free, Dual SIM Model, 16GB, White",Moto,,,16GB,149.95,In Stock,John Lewis
https://www.johnlewis.com/browse/electricals/mobile-phones-accessories/view-all-mobile-phones/_/N-a8v,"Doro 8030 Smartphone with Charging Cradle, Android, 4.5"", 4G LTE, 8GB, SIM Free, Black",Doro,,,8GB,119.00,In Stock,John Lewis
https://www.johnlewis.com/browse/electricals/mobile-phones-accessories/view-all-mobile-phones/_/N-a8v,"Moto E4 Plus Smartphone, Android, 5.5"", 4G LTE, SIM Free, 16GB,",Moto,,Grey,16GB,149.00,In Stock,John Lewis
https://www.johnlewis.com/browse/electricals/mobile-phones-accessories/view-all-mobile-phones/_/N-a8v,"Apple iPhone 7, iOS 10, 4.7"", 4G LTE, SIM Free, 256GB,",Apple,,Rose Gold,256GB,699.00,In Stock,John Lewis
https://www.johnlewis.com/browse/electricals/mobile-phones-accessories/view-all-mobile-phones/_/N-a8v,"Samsung Galaxy S7 Edge Smartphone, Android, 5.5"", 4G LTE, SIM Free, 32GB,",Samsung,Galaxy S7 edge,Black,32GB,499.95,Out of stock,John Lewis
https://www.johnlewis.com/browse/electricals/mobile-phones-accessories/view-all-mobile-phones/_/N-a8v,"Moto C Smartphone, Android, 5"", 4G LTE, SIM Free, 16GB, Starry Black",Moto,,,16GB,89.95,In Stock,John Lewis
https://www.johnlewis.com/browse/electricals/mobile-phones-accessories/view-all-mobile-phones/_/N-a8v,"Apple iPhone 6s Plus, iOS, 5.5"", 4G LTE, SIM Free, 128GB,",Apple,,Space Grey,128GB,649.00,In Stock,John Lewis
